Tamaño,Tiempo (s),Pasos,Coste
2,0.3925912380218506,7,924.0
3,0.39723896980285645,11,558.0
4,0.45432281494140625,15,1008.0
5,0.678380012512207,19,1066.0
6,4.300853729248047,23,2406.0
7,23.62642192840576,27,1608.0
