Tamaño,Tiempo (s),Pasos,Coste
2,0.0030355453491210742,8,618.0
3,0.003032445907592757,13,1011.0
4,0.004084110260009724,17,1644.0
5,0.0049523115158081,22,1616.0
6,0.006906270980834913,28,2197.0
7,0.009162306785583484,32,2599.0
8,0.013126969337463351,36,2818.5
9,0.017631769180297838,39,3832.5
10,0.02744019031524656,47,3644.5
